location,specificLocation,time,itemType,crowdLevel,lostCount,weather,dayType
Bird Nest Canteen,Bird Nest Canteen,13:40,keys,high,10,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,13:33,wallet,medium,7,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,16:42,laptop,medium,6,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,13:41,waterbottle,medium,3,windy,weekend
Juice Bar,Juice Bar,19:19,document,medium,7,sunny,weekday
Library,Library - 1st Floor,03:14,document,medium,5,sunny,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,05:01,laptop,low,4,windy,weekend
New Building Canteen,New Building Canteen,19:24,backpack,high,8,sunny,weekday
P and S Cafeteria,P and S Cafeteria,16:58,wallet,medium,2,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,12:37,phone,high,10,cloudy,weekend
Anohana Canteen,Anohana Canteen,14:06,waterbottle,high,8,rainy,weekday
P and S Cafeteria,P and S Cafeteria,05:18,keys,medium,9,rainy,weekend
Juice Bar,Juice Bar,13:29,backpack,low,2,sunny,weekday
Library,Library - 2nd Floor,23:20,card,low,7,sunny,weekend
Library,Library - 1st Floor,09:39,waterbottle,high,8,windy,weekday
Old Library Space,Old Library Space - Reading Room,16:17,wallet,high,7,windy,weekday
Library,Library - 1st Floor,12:18,wallet,high,7,rainy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,21:24,wallet,medium,2,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,15:56,wallet,medium,5,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,19:21,waterbottle,medium,6,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,23:29,phone,low,8,windy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,09:01,waterbottle,medium,5,cloudy,weekday
Library,Library - 2nd Floor,10:22,phone,high,10,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,15:36,phone,high,1,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,09:28,waterbottle,medium,4,cloudy,weekday
Anohana Canteen,Anohana Canteen,15:29,waterbottle,high,1,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,12:48,laptop,medium,4,rainy,weekend
