location,time,itemType,crowdLevel,lostCount,weather,dayType,timestamp,incident_occurred,reported_at
Old Library Space,08:01,keys,very_high,4,sunny,weekday,2024-10-01 08:01:47,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,08:13,phone,very_high,2,cloudy,weekday,2024-10-01 08:13:16,,
Anohana Canteen,08:22,other,very_high,6,sunny,weekday,2024-10-01 08:22:05,,
Bird Nest Canteen,08:23,document,very_high,4,sunny,weekday,2024-10-01 08:23:22,,
Library,08:24,wallet,very_high,4,cloudy,weekday,2024-10-01 08:24:30,,
P and S Cafeteria,08:30,keys,very_high,6,sunny,weekday,2024-10-01 08:30:22,,
Anohana Canteen,09:16,keys,high,8,sunny,weekday,2024-10-01 09:16:57,,
P and S Cafeteria,09:17,laptop,medium,7,cloudy,weekday,2024-10-01 09:17:45,,
Bird Nest Canteen,09:32,document,medium,10,stormy,weekday,2024-10-01 09:32:27,,
New Building Canteen,09:33,keys,medium,7,sunny,weekday,2024-10-01 09:33:21,,
Juice Bar,09:36,document,medium,4,sunny,weekday,2024-10-01 09:36:23,,
Bird Nest Study Area,09:51,wallet,high,1,stormy,weekday,2024-10-01 09:51:03,,
Study Area 4th Floor New Building,09:56,laptop,high,1,sunny,weekday,2024-10-01 09:56:00,,
New Building Bio Laboratory outside space Storage Cabins,10:07,laptop,high,1,cloudy,weekday,2024-10-01 10:07:08,,
Anohana Canteen,10:13,document,high,4,sunny,weekday,2024-10-01 10:13:25,,
Basement Canteen,10:18,document,high,4,cloudy,weekday,2024-10-01 10:18:37,,
P and S Cafeteria,10:27,wallet,medium,6,rainy,weekday,2024-10-01 10:27:47,,
Old Library Space,10:30,document,high,1,rainy,weekday,2024-10-01 10:30:11,,
Bird Nest Canteen,10:39,wallet,high,2,cloudy,weekday,2024-10-01 10:39:43,,
Library,10:48,laptop,high,7,sunny,weekday,2024-10-01 10:48:22,,
New Building Canteen,11:04,bag,high,2,sunny,weekday,2024-10-01 11:04:21,,
Library outdoor Space storage,11:19,laptop,high,1,sunny,weekday,2024-10-01 11:19:14,,
Business Faculty Study Area,11:20,document,medium,3,sunny,weekday,2024-10-01 11:20:27,,
3rd Floor Study Area,11:32,other,high,2,stormy,weekday,2024-10-01 11:32:31,,
P and S Cafeteria,11:39,wallet,high,7,sunny,weekday,2024-10-01 11:39:43,,
Juice Bar,11:44,bag,high,2,sunny,weekday,2024-10-01 11:44:02,,
